date,donald trump,isPartial
2015-11-15,4,False
2015-11-22,4,False
2015-11-29,3,False
2015-12-06,12,False
2015-12-13,7,False
2015-12-20,6,False
2015-12-27,4,False
2016-01-03,4,False
2016-01-10,5,False
2016-01-17,5,False
2016-01-24,8,False
2016-01-31,8,False
2016-02-07,7,False
2016-02-14,7,False
2016-02-21,12,False
2016-02-28,19,False
2016-03-06,14,False
2016-03-13,15,False
2016-03-20,10,False
2016-03-27,9,False
2016-04-03,7,False
2016-04-10,6,False
2016-04-17,7,False
2016-04-24,7,False
2016-05-01,10,False
2016-05-08,7,False
2016-05-15,7,False
2016-05-22,6,False
2016-05-29,6,False
2016-06-05,7,False
2016-06-12,8,False
2016-06-19,7,False
2016-06-26,5,False
2016-07-03,5,False
2016-07-10,6,False
2016-07-17,18,False
2016-07-24,13,False
2016-07-31,12,False
2016-08-07,8,False
2016-08-14,7,False
2016-08-21,6,False
2016-08-28,7,False
2016-09-04,6,False
2016-09-11,8,False
2016-09-18,7,False
2016-09-25,13,False
2016-10-02,14,False
2016-10-09,24,False
2016-10-16,17,False
2016-10-23,13,False
2016-10-30,14,False
2016-11-06,100,False
2016-11-13,25,False
2016-11-20,12,False
2016-11-27,9,False
2016-12-04,8,False
2016-12-11,7,False
2016-12-18,7,False
2016-12-25,6,False
2017-01-01,7,False
2017-01-08,13,False
2017-01-15,28,False
2017-01-22,25,False
2017-01-29,20,False
2017-02-05,14,False
2017-02-12,12,False
2017-02-19,9,False
2017-02-26,9,False
2017-03-05,7,False
2017-03-12,7,False
2017-03-19,8,False
2017-03-26,6,False
2017-04-02,6,False
2017-04-09,6,False
2017-04-16,5,False
2017-04-23,5,False
2017-04-30,5,False
2017-05-07,5,False
2017-05-14,8,False
2017-05-21,7,False
2017-05-28,8,False
2017-06-04,7,False
2017-06-11,6,False
2017-06-18,4,False
2017-06-25,5,False
2017-07-02,6,False
2017-07-09,7,False
2017-07-16,5,False
2017-07-23,6,False
2017-07-30,5,False
2017-08-06,5,False
2017-08-13,8,False
2017-08-20,6,False
2017-08-27,5,False
2017-09-03,4,False
2017-09-10,4,False
2017-09-17,5,False
2017-09-24,8,False
2017-10-01,5,False
2017-10-08,6,False
2017-10-15,5,False
2017-10-22,5,False
2017-10-29,5,False
2017-11-05,5,False
2017-11-12,5,False
2017-11-19,4,False
2017-11-26,6,False
2017-12-03,6,False
2017-12-10,6,False
2017-12-17,4,False
2017-12-24,4,False
2017-12-31,6,False
2018-01-07,7,False
2018-01-14,6,False
2018-01-21,5,False
2018-01-28,5,False
2018-02-04,5,False
2018-02-11,5,False
2018-02-18,5,False
2018-02-25,4,False
2018-03-04,4,False
2018-03-11,5,False
2018-03-18,5,False
2018-03-25,5,True
